"session","created","modified","ended","expired","Neutral68_type","Neutral91_type","Neutral158_type","Neutral169_type","Angry84_type","Angry55_type","Angry130_type","Happy103_type","Happy338_type","Happy348_type","Sad59_type","Sad63_type","Sad134_type","age","Neutral68_intensity_Happy","Neutral91_intensity_Happy","Neutral158_intensity_Happy","Neutral169_intensity_Happy","Angry84_intensity_Happy","Angry55_intensity_Happy","Angry130_intensity_Happy","Happy103_intensity_Happy","Happy338_intensity_Happy","Happy348_intensity_Happy","Sad59_intensity_Happy","Sad63_intensity_Happy","Sad134_intensity_Happy","gender","Neutral68_intensity_Sad","Neutral91_intensity_Sad","Neutral158_intensity_Sad","Neutral169_intensity_Sad","Angry84_intensity_Sad","Angry55_intensity_Sad","Angry130_intensity_Sad","Happy103_intensity_Sad","Happy338_intensity_Sad","Happy348_intensity_Sad","Sad59_intensity_Sad","Sad63_intensity_Sad","Sad134_intensity_Sad","Neutral68_intensity_Angry","Neutral91_intensity_Angry","Neutral158_intensity_Angry","Neutral169_intensity_Angry","Angry84_intensity_Angry","Angry55_intensity_Angry","Angry130_intensity_Angry","Happy103_intensity_Angry","Happy338_intensity_Angry","Happy348_intensity_Angry","Sad59_intensity_Angry","Sad63_intensity_Angry","Sad134_intensity_Angry","specify_N68","specify_N91","specify_N158","specify_N169","specify_A84","specify_A55","specify_A130","specify_H103","specify_H338","specify_H348","specify_S59","specify_S63","specify_S134","feedback"
"","2019-02-26 11:08:47","2019-02-26 11:10:39","2019-02-26 11:10:39","","6","6","6","6","6","6","6","5","6","6","6","6","6","thank the formr monkey","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","thank the formr monkey","","","","","","thank the formr monkey
many times"
"preciousAxolotlXXXy9RSjiOic5Z81RxND8JJazx0qrOr2g3paMXVFaw1OJxiNc","2019-02-26 11:25:57","2019-02-26 11:27:44","2019-02-26 11:27:44","","6","6","6","6","6","6","4","6","6","6","6","6","6","24","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","thank the formr monkey
many times"
"jl2kvIIPd106sCxids-8ykjqQ_29YxK-cKHl4BMluLIkCgO7a5QwJfHTPAn58E9J","2019-02-26 11:36:47","2019-02-26 11:42:38","2019-02-26 11:42:38","","5","1","2","5","4","4","4","2","2","2","3","3","5","23","","","6","","","","","96","90","69","","","","1","","","","","","","","","","","65","88","","","","","","100","88","62","","","","","","","Confused","","","Neutral and hiccuping ","","","","","","","","","Scared",""
"twWKp39LRIBgo_12W7X9_lWKpS3PgOs1B14Vwpm8uQrQTKLLv3Fgem7sz9IdO0Sr","2019-02-26 11:51:24","2019-02-26 11:56:11","2019-02-26 11:56:11","","1","6","6","6","4","4","4","2","2","2","3","3","3","25","","","","","","","","51","81","14","","","","1","","","","","","","","","","","88","86","79","","","","","72","66","61","","","","","","","","","","","","","","","","","","","",""
"AuYq3DUVukfuH7gFNdfkA90ilET-9gQez2x_e_ieqeBngO85xAtHcIo328lBMqHI","2019-02-26 12:02:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWWBS8SR9ioF5b37QgroaKSEeml6FEwMPPuPp5INbLYMypR4G8rc4o0WpCzi8GrI","2019-02-26 12:02:58","2019-02-26 12:10:16","2019-02-26 12:10:16","","3","1","1","2","4","4","4","2","2","2","3","3","3","27","","","","8","","","","100","75","68","","","","1","13","","","","","","","","","","67","66","95","","","","","78","95","79","","","","","","","","","","","","","","","","","","","","Sad Cozmo breaks my heart!"
"KgEZ5bJjP8yA9FNZWAPiE7cgkTcy0zSWN26MW7N---mvfFr_qeerKGRtauje0Y1J","2019-02-26 12:18:51","2019-02-26 12:18:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RqEzYPVDLYdhPeQZVcyRFvYDVpizjRjCjJx7absqjzgfc4nXIHKSUEKZRKWNPwTN","2019-02-26 15:41:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vqt483L1Z-kCl6RD1Os3D_eZh4q_RwRsnhOtIDWqJ_5ZdKFBxCzKlaXO9zWDZRxI","2019-02-26 16:21:57","2019-02-26 16:27:32","","","","1","","","4","","","","","","","","","24","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","","","","","","","","","","",""
"sSKtSO3chkA3PAl0VHu-qz_4soutoW1Rc_JQ4KiHg6DbjYU9kFmiEBkd-GFlMCJb","2019-02-26 16:27:34","2019-02-26 16:34:24","2019-02-26 16:34:24","","5","5","2","2","4","4","4","2","2","2","3","3","5","42","","","67","60","","","","66","79","85","","","","1","","","","","","","","","","","79","76","","","","","","82","74","66","","","","","","","surprised/curious","startled","","","","","","","","","","","sad with regret",""
