"session","created","modified","ended","expired","Angry55_type","Angry130_type","Happy103_type","Happy338_type","Happy348_type","Sad59_type","Sad63_type","Sad134_type","Neutral68_type","Neutral91_type","Neutral158_type","Neutral169_type","Angry84_type","Angry55_intensity_Happy","Angry130_intensity_Happy","Happy103_intensity_Happy","Happy338_intensity_Happy","Happy348_intensity_Happy","Sad59_intensity_Happy","Sad63_intensity_Happy","Sad134_intensity_Happy","Neutral68_intensity_Happy","Neutral91_intensity_Happy","Neutral158_intensity_Happy","Neutral169_intensity_Happy","Angry84_intensity_Happy","Angry55_intensity_Sad","Angry130_intensity_Sad","Happy103_intensity_Sad","Happy338_intensity_Sad","Happy348_intensity_Sad","Sad59_intensity_Sad","Sad63_intensity_Sad","Sad134_intensity_Sad","Neutral68_intensity_Sad","Neutral91_intensity_Sad","Neutral158_intensity_Sad","Neutral169_intensity_Sad","Angry84_intensity_Sad","Angry84_intensity_Angry","Angry55_intensity_Angry","Angry130_intensity_Angry","Happy103_intensity_Angry","Happy338_intensity_Angry","Happy348_intensity_Angry","Sad59_intensity_Angry","Sad63_intensity_Angry","Sad134_intensity_Angry","age","Neutral68_intensity_Angry","Neutral91_intensity_Angry","Neutral158_intensity_Angry","Neutral169_intensity_Angry","specify_A84","specify_A55","specify_A130","specify_H103","specify_H338","specify_H348","specify_S59","specify_S63","specify_S134","gender","specify_N68","specify_N91","specify_N158","specify_N169","feedback"
"IY0Uk8MH3aI6S-8YYMyBQvvr5mNja2iFSjSlDJaEGgjnsd8V8gMOY9EtWbw1qMu9","2019-04-08 13:05:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gKP-ngT8ww0T5OcwEgrfFRXxLsRFxTGGeVIrOCXCq-OcxVHYxjHp2B22XMXnhgSI","2019-04-08 13:59:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aDBg2cgiA6hO9Y7x07w3U02X_tl0iIuNubIKtn7oKjjqs990isNeMei1Ru3cYcO3","2019-04-08 14:09:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hFgjByuA5sBQ8hDt2NxkNsJLuNnguD4AXV0JuVQHFoh6wUSN-VnpkMTWFtsd4tNp","2019-04-08 14:09:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jqEY76rxQ_BTq90OPDDXYot9vZq_sY24wtTvcW6Nfko-RIASHonPz4dc_CVZeduf","2019-04-08 14:09:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"uhAAxZUdWx5pJ0F76DOYkojAQHqPmilKOHp22AVS411FQPkfcE-WKZ7P51fkJu5G","2019-04-08 14:09:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Ig-AVY8AfdqR_a_qsHYxwbwvbFCSEsYzzpkrjfmaGW-lVz_A9Z2mSCTAX9EjBwr","2019-04-08 14:09:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GXESbcRCw8If9zomrtSzWyyoAtW97X0tqWylDcB6F6GgGHU3s0IvscFIJpvINF7","2019-04-08 14:11:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FpBxzjeWCbvn-DPOUHH7-GlkibPHVCQKwT624k_6HVxKnPRGW9viS4hATcAyLI5N","2019-04-08 14:14:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZfqjbCKQmLrWlxIpg-vkyT9eGUxqmn9kmq9AhLmAedqufQ5uE0oEKfaRhCdWGFZk","2019-04-08 14:37:15","2019-04-08 14:44:41","2019-04-08 14:44:41","","4","4","2","4","2","3","3","3","1","1","1","2","5","","","89","","98","","","","","","","65","","","","","","","95","78","100","","","","","","","41","51","","75","","","","","21","","","","","agitated","","","","","","","","","1","","","","",""
