session,created,modified,ended,expired,Neutral68_type,Neutral91_type,Neutral158_type,Neutral169_type,Angry84_type,Angry55_type,Angry130_type,Happy103_type,Happy338_type,Happy348_type,Sad59_type,Sad63_type,Sad134_type,Neutral68_intensity_Happy,Neutral91_intensity_Happy,Neutral158_intensity_Happy,Neutral169_intensity_Happy,Angry84_intensity_Happy,Angry55_intensity_Happy,Angry130_intensity_Happy,Happy103_intensity_Happy,Happy338_intensity_Happy,Happy348_intensity_Happy,Sad59_intensity_Happy,Sad63_intensity_Happy,Sad134_intensity_Happy,Neutral68_intensity_Sad,Neutral91_intensity_Sad,Neutral158_intensity_Sad,Neutral169_intensity_Sad,Angry84_intensity_Sad,Angry55_intensity_Sad,Angry130_intensity_Sad,Happy103_intensity_Sad,Happy338_intensity_Sad,Happy348_intensity_Sad,Sad59_intensity_Sad,Sad63_intensity_Sad,Sad134_intensity_Sad,age,Neutral68_intensity_Angry,Neutral91_intensity_Angry,Neutral158_intensity_Angry,Neutral169_intensity_Angry,Angry84_intensity_Angry,Angry55_intensity_Angry,Angry130_intensity_Angry,Happy103_intensity_Angry,Happy338_intensity_Angry,Happy348_intensity_Angry,Sad59_intensity_Angry,Sad63_intensity_Angry,Sad134_intensity_Angry,gender,specify_N68,specify_N91,specify_N158,specify_N169,specify_A84,specify_A55,specify_A130,specify_H103,specify_H338,specify_H348,specify_S59,specify_S63,specify_S134,feedback
YjH2Q0s6OTOfRZP1yBYYj3rfip52RxsH6ynrCpXYiKy4_X2_A0XD_8Rl9i8s3jTK,2019-04-13 09:27:20,2019-04-13 09:34:09,2019-04-13 09:34:09,,5,1,4,6,4,4,4,2,2,2,3,3,5,,,,,,,,51,57,76,,,,,,,,,,,,,,61,43,,25,,,4,,81,57,63,,,,,,,1,doubt,,,,,,,,,,,,scared,
PvtfncA4QD4cqvGcp26D-sx4OniRcMVnKlAaZjWbmwNz0HuIkUsPYOguJVTcwt2o,2019-04-13 09:32:00,2019-04-13 09:35:25,2019-04-13 09:35:25,,1,1,1,1,4,4,4,2,2,2,3,3,3,,,,,,,,94,86,92,,,,,,,,,,,,,,74,62,61,25,,,,,97,35,84,,,,,,,1,,,,,,,,,,,,,,
splxIGo8WTL1I10e2tRJ_t6yrhKMDLTAzWFeNMSxJos2pPyal17Bqke8VfbdDkBN,2019-04-13 11:08:15,2019-04-13 11:15:32,2019-04-13 11:15:32,,1,5,1,1,4,4,4,2,2,2,3,3,3,,,,,,,,98,88,100,,,,,,,,,,,,,,89,51,63,24,,,,,86,76,70,,,,,,,1,,Surprised,,,,,,,,,,,,
lSOWwOX8Iqiy5FDcIcN5exgQRqZSN_IhqomaDjvdjDE4JQV1sN87XbMTd3VCxAGj,2019-04-13 14:03:25,2019-04-13 14:10:16,2019-04-13 14:10:16,,5,5,1,5,4,4,3,2,2,2,3,5,3,,,,,,,,93,36,51,,,,,,,,,,41,,,,71,,80,25,,,,,69,17,,,,,,,,1,confused,surprise,,打嗝,,,,,,,,disappointed,,hello
ln2zYIrHu6ai0JyQRLuM9pNk503eUDa4G3xUboBl-16oyXmsfxd-1gGC6n-ojObl,2019-04-13 14:36:47,2019-04-13 14:41:34,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,1,,,disturbed,,,,,,,,,,,
U1nhyBJn0XFqMf3JdgmIw5Pn97L1TEV7OEGGTypjfhBrMb0Bu8AutN68JSAhxSHq,2019-04-13 15:17:31,2019-04-13 15:25:17,2019-04-13 15:25:17,,1,1,4,2,4,2,4,1,2,5,3,3,3,,,,56,,86,,,82,,,,,,,,,,,,,,,51,77,67,25,,,20,,100,,75,,,,,,,1,,,,,,,,,,cute,,,,
EcfP5W_Rp086oGZlljPLstFPYcvwZGvUPVN1Ac-N3CnhaTt-1eKjCGv3wuzFtp0-,2019-04-13 16:47:30,2019-04-13 16:50:52,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
_P34nfi-InWKV6mnMOtHiD00LzkHYvDLykU6q-RKtUl3Clg2IL-LpQbwXtiG2M7l,2019-04-13 17:21:38,2019-04-13 17:31:42,2019-04-13 17:31:43,,5,1,5,5,4,4,4,2,2,5,5,3,5,,,,,,,,100,100,,,,,,,,,,,,,,,,59,,24,,,,,87,89,100,,,,,,,1,Answering something with natural emotion,,Curious,Hey! Look!,,,,,,Teasing,Upset,,Depressed,"Keep going!
"
VWKVzv63F1IUvgZ7jomn5ScO859R69FE3PwqctA3vz1hhy-fm5hJSvEbtciYY74y,2019-04-13 18:22:52,2019-04-13 18:35:09,2019-04-13 18:35:09,,6,1,1,6,4,4,4,2,2,2,3,3,3,,,,,,,,63,51,17,,,,,,,,,,,,,,26,28,79,30,,,,,70,15,27,,,,,,,2,,,,,,,,,,,,,,
fyDBDpAMG1Mal8De7RqZTpiKohIyJ8xzreDedDKTZQyzYOTK3p877ROK0aYcmJcz,2019-04-13 19:07:39,2019-04-13 19:13:45,2019-04-13 19:13:45,,1,3,6,1,4,4,4,2,2,2,3,3,5,,,,,,,,81,28,100,,,,,3,,,,,,,,,28,100,,24,,,,,99,59,71,,,,,,,2,,,,,,,,,,,,,shy,甘巴爹!
3qEVGg6qHnOWOPiVh-NydDl4zmn1VnMbYEW6n6D6in3mQkIjJ6IpEIR2dWan2WWD,2019-04-13 19:35:35,2019-04-13 19:52:22,2019-04-13 19:52:22,,2,6,5,6,4,5,5,2,2,2,5,5,5,37,,,,,,,82,97,77,,,,,,,,,,,,,,,,,25,,,,,66,,,,,,,,,2,,,應該是開心，想趁四下無人的時候釋放自己開心的情緒（瞬間激動那種）,,,有點想癡呆老人，像是想到什麼生氣的事突然生氣，但又馬上恢復正常,內心開心但外表又要裝生氣來鬧脾氣 （拍謝我英文爛 怕文不及義,,,,感覺像想認真自我突破但又輸給自己的懦弱膽小,這個好難，感覺像憂鬱情緒時，想試著讓自己打起精神來但發現毫無作用的感覺,缺乏安全感或缺乏自信,加油啦 祝你順利畢業
I3NMVEUrG21tKLWzfrTBZcLRPDDozQa7pyz9Qnt7jNVomMvdQTn87C4KGKKh1wq_,2019-04-14 03:40:00,2019-04-14 03:55:01,2019-04-14 03:55:02,,6,1,5,5,4,1,4,2,2,2,3,5,5,,,,,,,,79,24,79,,,,,,,,,,,,,,51,,,25,,,,,100,,51,,,,,,,2,,,Scared ,Shock,,,,,,,,Upset ,Disappoint,
xya97cvRwNDDqMeJ-xlUqyJmkwoF8rjQkStXrXDbSfI5X-CjiAIpLRWGxnVTb3YB,2019-04-14 05:08:47,2019-04-14 05:19:15,2019-04-14 05:19:15,,2,2,6,4,4,4,4,2,2,2,3,3,3,11,21,,,,,,72,60,54,,,,,,,,,,,,,,13,10,44,24,,,,11,88,68,73,,,,,,,1,,,,,,,,,,,,,,Can add more emotional options
WY02iGrv43LSQ363bPnC-OFwGG2eT5RDga-Nxlw2R6dNlzizEEAwtUzsWUidjAHi,2019-04-14 06:28:52,2019-04-14 06:29:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dn1Ley6LaxncdKZnx1QrCiXHebz1a7XmUhNRPRZxz2jDJmrTBpZs1ZljfzBTs__z,2019-04-14 11:46:22,2019-04-14 11:52:51,2019-04-14 11:52:51,,1,5,5,6,4,4,4,2,2,2,3,3,3,,,,,,,,69,84,75,,,,,,,,,,,,,,38,40,60,28,,,,,86,95,67,,,,,,,1,,Surprised,Scared,,,,,,,,,,,
yUbYq8b-5Tkuiq4vcn1oQ7Of91VPRyry5UncTsJ0EKs_5H7xn38lHiMm3ytdtzmc,2019-04-14 11:57:06,2019-04-14 11:57:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vpv5eC9yFtYNSFNnp_1CfnvTMg6PLuPiRH8phZGA3Emf2mPBVNpsUXJmlIuNxRJA,2019-04-14 11:57:11,2019-04-14 12:01:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
FQo897NSwe9N5UiHT6PKIbDec8LhNFnYP7kNq9OdLRDkScjDvli5vTT9iYCSikOx,2019-04-14 11:57:44,2019-04-14 11:57:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MmKfWYBO_YkhE1wUvaJvpHsgzB97Hm_wQKpF2TCYP1LiiBryLSxbLK-sbPpFxo-7,2019-04-14 11:59:53,2019-04-14 14:23:16,2019-04-14 14:23:16,,1,4,2,2,4,4,3,2,2,2,3,3,3,,,69,38,,,,27,81,83,,,,,,,,,,51,,,,14,23,22,20,,3,,,90,51,,,,,,,,2,,,,,,,,,,,,,,
fleOnMvJepm6kO8dgFCsZq3N-z039dutf-i0CG6cf05imfw14vpjmogrCpyVp84p,2019-04-14 19:10:07,2019-04-14 19:16:57,2019-04-14 19:16:57,,6,5,2,2,4,4,4,2,2,2,3,3,3,,,51,50,,,,80,95,85,,,,,,,,,,,,,,84,84,98,26,,,,,100,94,68,,,,,,,1,,輕微嚇到,,,,,,,,,,,,
jU8FZZrLFDmFEtu0fTikTkR-eDRvPr548jL-MsM5IcNQFBT_qHx9Jy6AvPJxPWIf,2019-04-15 06:01:18,2019-04-15 06:02:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX0qjhHWFuP08koUqG4wg2KyftmSX3VKkF8iiQMQweAmt7C_74OTegawDVsRaXw3,2019-04-15 11:08:18,2019-04-15 11:15:05,2019-04-15 11:15:05,,3,4,5,4,4,4,4,5,2,2,3,3,5,,,,,,,,,51,87,,,,69,,,,,,,,,,77,82,,46,,77,,88,93,86,84,,,,,,,1,,,pain,,,,,Excited,,,,,Embarrassed,
7uyRiv-R0v35B2UHymBz06Athe9WrVz0nYSUejITBx0aPAs8iSwHhNSWC4NRIQHF,2019-04-15 11:45:34,2019-04-21 14:14:24,2019-04-21 14:14:24,,2,6,6,2,4,4,4,2,2,2,3,3,3,30,,,32,,,,85,72,92,,,,,,,,,,,,,,51,62,51,23,,,,,83,78,51,,,,,,,1,,,,,,,,,,,,,,
zJr1aYClC9KVDB7J_RFyFl1EMopTUuUwnniE8o4fIWB9Qkv_pzFjQX4DhAvBQm1o,2019-04-15 15:01:10,2019-04-15 15:22:14,2019-04-15 15:22:14,,6,4,4,6,4,4,4,2,2,2,3,3,5,,,,,,,,100,65,68,,,,,,,,,,,,,,90,67,,16,,58,79,,91,82,81,,,,,,,2,,,,,,,,,,,,,Scared,加油~~
2qU7-JhIBnxhP5UItdh0xjJ5lrAAvsUs5iWVF3BbI9123KVVMa_zajANU081coFt,2019-04-15 16:21:19,2019-04-15 16:21:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k7gPW6CO5ug_10ybTa2wj6UNLmiolkVU2W0pIKvYPAWgbUY-yRMCEp2MriWHOnQJ,2019-04-16 06:14:31,2019-04-16 06:14:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5sj49SsKqqYvUpqUHFdhNN98492parEAuLnk8_lkQbryO-uYWNFRXtE2HxGlEPyg,2019-04-16 14:39:18,2019-04-16 14:47:22,2019-04-16 14:47:22,,1,5,2,5,4,4,4,6,2,2,3,3,5,,,58,,,,,,58,98,,,,,,,,,,,,,,71,40,,21,,,,,100,93,69,,,,,,,1,,surprised,,confused,,,,,,,,,shy/ afraid,
rPKxEA4sqwrXi0tn9vrvOXODz_VBJf-ZiiDo4zYx8kHL1pC96p0d5Tmvy9_xUP9_,2019-04-16 17:43:33,2019-04-16 17:50:27,2019-04-16 17:50:27,,6,5,5,5,4,4,3,5,2,2,3,3,3,,,,,,,,,80,80,,,,,,,,,,57,,,,54,51,75,24,,,,,81,79,,,,,,,,1,,surprised,indifference ,confused,,,,excited,,,,,,
YC1STBmTFXLopV08hHfA35WTDGpkljokpoh3IDKu1WOb57J_4679YIz4PAr74xrE,2019-04-17 00:10:38,2019-04-17 00:10:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-h9TfKGzmgpcZokXbNBxN3esDjlY9YxfOno6cAcJeerr6Zfx_Bst_GXL70Hw7R,2019-04-17 02:21:04,2019-04-17 02:21:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UwqGHYHqwCYj7N3gA46i9fLGi_ZV7gRrDT9gAhVcO_1EnIkmUXmXc8wtB6F6z74W,2019-04-17 02:22:31,2019-04-17 02:27:07,,,,,,2,,,,2,,2,,3,5,,,,87,,,,100,,51,,,,,,,,,,,,,,,74,,23,,,,,,,,,,,,,,1,,,,,,,,,,,,,embarrassment,
KAD-bj42Uz1DXqL7pU_Oulv2tw-Sx_jlsRdDQCy9SnOlFYkSJu2FTkwNtavhLB7r,2019-04-17 12:35:47,2019-04-17 12:35:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2P_c6ITG0prh13_A5oinPMKLfXFrODcXipRWIQHtmj2FO6TOGr-IwUhRmcIrexK,2019-04-17 17:53:49,2019-04-17 17:58:19,2019-04-17 17:58:19,,1,5,5,6,4,4,4,6,2,2,3,3,5,,,,,,,,,100,100,,,,,,,,,,,,,,100,28,,21,,,,,100,100,100,,,,,,,1,,surprise ,shock,,,,,,,,,,shame,
GwUxBo04BhTM3dkgfDk-AD4t9V4fCs7CX4RH6oT2tR2ly2_w_o6l_RpHvAKrzHSE,2019-04-17 20:26:03,2019-04-17 20:30:21,2019-04-17 20:30:21,,2,5,1,1,4,4,4,2,5,2,3,3,5,4,,,,,,,79,,90,,,,,,,,,,,,,,100,89,,18,,,,,90,81,77,,,,,,,1,,surprised,,,,,,,fear,,,,embarrassed,I have emailed to ask for participation credit but not sure if i need to do anything else please let me know if i do
c4tIJx_--VA1cTTXIjD_A80VD1GcZKZ_rWunIdu3Wr0b_SMFNX2jmwpu9OjZdLQ7,2019-04-18 02:49:33,2019-04-18 02:57:22,2019-04-18 02:57:22,,2,5,2,1,4,4,4,5,2,5,3,3,3,51,,29,,,,,,61,,,,,,,,,,,,,,,65,48,66,30,,,,,69,20,36,,,,,,,1,,Surprised,,,,,,Excited,,Amused,,,,
IMVs5ikgmbHHYURXarZG480USGoWXSWhFZWGLGzn3hbK8RI0asvS8KjFMO3pFpEz,2019-04-18 11:46:22,2019-04-18 11:55:32,2019-04-18 11:55:32,,1,5,2,3,4,4,4,3,4,6,3,3,3,,,68,,,,,,,,,,,,,,51,,,,81,,,66,93,51,20,,,,,69,25,66,,36,,,,,1,,Shock/surprised ,,,,,,,,,,,,
E18YRyfzK587rjvC3ax0-2LExao44yLyLleo292NgrB26FWRvFXONv6KvsIWsE-0,2019-04-18 13:29:04,2019-04-18 13:29:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paymwshDqbZQXxxXNzONOIjgbOMcwvG1ErKd6ABjNDNwdEKOGX3Z4962fVV6eNan,2019-04-19 09:40:34,2019-04-19 09:52:53,2019-04-19 09:52:53,,6,1,4,2,4,4,4,2,2,2,3,3,3,,,,76,,,,91,36,62,,,,,,,,,,,,,,84,28,62,26,,,68,,39,34,85,,,,,,,2,,,,,,,,,,,,,,
TOcbIPI-exdTwVhUKagfixRaXQ-lBoXHnUVot3Hhw558F3K2kEDELIuOtWZxPUoM,2019-04-20 12:18:03,2019-04-20 12:24:46,2019-04-20 12:24:46,,1,1,6,6,4,4,5,4,6,2,3,3,3,,,,,,,,,,51,,,,,,,,,,,,,,51,51,18,27,,,,,51,4,,51,,,,,,1,,,,,,,Frustrated,,,,,,,
33BEWNVCPx4VLHXHn6DNldsSYldO-vS11P4v_elJNgFdyTweK8qnoehPLg_ICJF4,2019-04-23 00:08:32,2019-04-23 00:15:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gNxPiBCaepbteF9qVCIpHdG_nv_k4MhCi1k5PyPQg8XlUsSf5TplNDUddfuXDEtc,2019-04-24 05:35:35,2019-04-24 05:41:25,2019-04-24 05:41:26,,6,1,2,5,4,4,4,4,5,4,3,3,5,,,33,,,,,,,,,,,,,,,,,,,,,100,22,,18,,,,,100,71,30,13,,14,,,,1,,,,Worried,,,,,Confused ,,,,Ashamed ,
4fRVleuIODcVLiuRlJ65TNb81ZqV7OnnCzybpR6shG8e1DwlZ6rzQLYewsmCsnq8,2019-04-24 17:20:24,2019-04-24 17:29:11,2019-04-24 17:29:11,,2,5,5,5,4,4,4,2,2,2,3,3,3,27,,,,,,,70,69,78,,,,,,,,,,,,,,59,66,61,37,,,,,82,75,82,,,,,,,1,,confused,curious,hiccup,,,,,,,,,,
FNwxVE_tYW0VdgBlUsHEpDt-KK1L37pdjgOSYk__2Vpdk_eLh2NLQIHzpeLUmNki,2019-04-26 23:02:21,2019-04-26 23:11:15,2019-04-26 23:11:15,,5,5,2,2,4,4,4,5,2,2,3,3,3,,,17,9,,,,,76,69,,,,,,,,,,,,,,62,80,92,19,,,,,78,59,69,,,,,,,1,surprised,surprised,,,,,,scared,,,,,,
Q2sW7OJR9xN7RRxfNUtyEAZf9u0bdIquhAdxB00EPOaJVNViF-JwFC00USMJdgqu,2019-04-29 15:13:38,2019-04-29 15:14:33,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
pv1hcMve_SMFpzF5IvGvsIB08PwDYwysWMPGTAcFJYqMXmYjgbCfNf3ZymwB3hcr,2019-04-30 13:10:27,2019-04-30 13:16:16,2019-04-30 13:16:16,,4,5,4,3,4,4,4,2,2,2,3,3,3,,,,,,,,45,86,75,,,,,,,76,,,,,,,54,8,89,31,9,,36,,97,50,59,,,,,,,2,,Surprise,,,,,,,,,,,,
9Dl0qdB5JkzeZdSuHQRAc5YpU7pxbba9RDvl_KYVNZTlQIP_ZcWH73XWmFTVOPpS,2019-05-02 02:30:38,2019-05-03 01:51:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNzP5msFUiSHsGgyps-5e-wCGSQxebNKu3I5VdfftsEUF-Ju5F6ftVpX6oO87uw5,2019-05-02 15:13:11,2019-05-02 17:11:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
XcmW_6jSCuOYmwpqii0rjnhilQ_KfEmM5WOkU7a7lO3l2XPANlDv1lj10ZcJbT4S,2019-05-02 15:13:14,2019-05-02 15:13:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g3YipCwR85kKJWpTl2yPAIDYQ_6WqFJHFK9GQMgOSOHoZNDYNAHoiFeSP-H7D2b5,2019-05-02 15:13:45,2019-05-02 15:13:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jv7f8-CLeh-z8WDoKtOHRWJ7zJvRnc5E2qvWp7-c1dYRAzhkVhlL61LIjPBygnYP,2019-05-02 15:14:04,2019-05-02 15:14:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYd-gMZLbd3_xPmhm9UwxKQ6HQrjJIC2X10NjMADDgX6JBQTY9LTrJD5PTR-fMN7,2019-05-02 15:16:40,2019-05-02 15:16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
